Category,Linnean Name,English Name,Most Recent Date,Notes
Diptera (Flies):,Dolichopus griseipennis,,2005-08-02,005 August
Diptera (Flies):,Dolichopus latelimbatus,,2005-08-02,005 August
Diptera (Flies):,Drapetis arcuata,,2005-08-02,005 August
Diptera (Flies):,Exorista rustica,,2005-08-02,005 August
Diptera (Flies):,Fannia atripes,,2005-08-02,005 August
Diptera (Flies):,Hebecnema vespertina,,2005-08-02,005 August
Diptera (Flies):,Helina maculipennis,,2005-08-02,005 August
Diptera (Flies):,Hyadina guttata,,2005-08-02,005 August
Diptera (Flies):,Isoneuromyia semirufa,,2005-08-02,005 August
Diptera (Flies):,Leia bimaculata,,2005-08-02,005 August
Diptera (Flies):,Leiomyza laevigata,,2005-08-02,005 August
Diptera (Flies):,Lucilia ampullacea,a Blow-fly,2005-08-02,005 August
Diptera (Flies):,Lydina aenea,,2005-08-02,005 August
Diptera (Flies):,Machimus atricapillus,,2005-08-02,005 August
Diptera (Flies):,Monoclina rufilatera,,2005-08-02,005 August
Diptera (Flies):,Musca autumnalis,,2005-08-02,005 August
Diptera (Flies):,Myoleja caesio,,2005-08-02,005 August
Diptera (Flies):,Orfelia nemoralis,,2005-08-02,005 August
Diptera (Flies):,Phaonia fuscata,,2005-08-02,005 August
Diptera (Flies):,Philocoprella quadrispina,,2005-08-02,005 August
Diptera (Flies):,Psilopa nitidula,,2005-08-02,005 August
Diptera (Flies):,Sapromyza halidayi,,2005-08-02,005 August
Diptera (Flies):,Sapromyza quadripunctata,,2005-08-02,005 August
Diptera (Flies):,Sceptonia nigra,,2005-08-02,005 August
Diptera (Flies):,Spelobia talparum,,2005-08-02,005 August
"Hymenoptera (Ants, Wasps & Bees):",Allantus rufocinctus,a Sawfly,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Andrena minutula,a Mining bee,2005-08-02,
"Hymenoptera (Ants, Wasps & Bees):",Athalia circularis,A Sawfly,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Auplopus carbonarius,Spider-hunting wasp,2005-08-02,Damp woods. Nationally Notable (Nb) species in Falk (1991).
"Hymenoptera (Ants, Wasps & Bees):",Bombus lucorum,White-tailed Bumble Bee,2005-08-02,First seen 1995 April 19th
"Hymenoptera (Ants, Wasps & Bees):",Caliadurgus fasciatellus,a Spider-hunting wasp,2005-08-02,Occurs exposed in dry sandy or sandy clay soils.
"Hymenoptera (Ants, Wasps & Bees):",Crossocerus ovalis,a Digger Wasp,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Didineis lunicornis,a Digger Wasp,2005-08-02,NATIONALLY NOTABLE Na (Falk 1991). Rare (RDB3) (1987)
"Hymenoptera (Ants, Wasps & Bees):",Dolichovespula sylvestris,Tree Wasp,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Eutomostethus ephippium,a Sawfly,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum leucozonium,a Mining bee,2005-08-02,005 August
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum villosulum,Solitary Bee,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Myrmosa atra,Black-headed Velvet Ant,2005-08-02,005 Aug
"Hymenoptera (Ants, Wasps & Bees):",Pemphredon lethifer,a Digger Wasp,2005-08-02,005 August
"Hymenoptera (Ants, Wasps & Bees):",Priocnemis agilis,a Spider-hunting wasp,2005-08-02,005 August
"Hymenoptera (Ants, Wasps & Bees):",Psenulus pallipes,Pale-footed Black Wasp,2005-08-02,005 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Sphecodes geoffrellus,Geoffroy's Blood Bee,2005-08-02,005 Aug
"Hymenoptera (Ants, Wasps & Bees):",Trypoxylon clavicerum,Club-horned Borer,2005-08-02,005 Aug
Diptera (Flies):,Phasia obesa,,2005-07-25,♂ in U.V. trap
Diptera (Flies):,Agromyza nigripes,,2005-07-17,Malaise trap
Diptera (Flies):,Anapausis soluta,,2005-07-17,One female in Malaise trap
Diptera (Flies):,Cerodontha lateralis,,2005-07-17,2 males in Malaise trap
Diptera (Flies):,Chrysotus cilipes,,2005-07-17,
Diptera (Flies):,Elachiptera cornuta,,2005-07-17,
Diptera (Flies):,Lonchoptera bifurcata,,2005-07-17,♀ in Malaise trap
Diptera (Flies):,Lucilia illustris,a Blow-fly,2005-07-17,
Diptera (Flies):,Meigenia mutabilis,,2005-07-17,Common parasite of caterpillars & grubs
Diptera (Flies):,Minilimosina fungicola,,2005-07-17,
Diptera (Flies):,Napomyza lateralis,,2005-07-17,
Diptera (Flies):,Nephrotoma cornicina,Cranefly,2005-07-17,Local
Diptera (Flies):,Phania funesta,,2005-07-17,
Diptera (Flies):,Platycheirus angustatus,a Hoverfly,2005-07-17,Local in dry grassland.  Not in 1984 Herts list.
Diptera (Flies):,Platypalpus minutus sensu stricto,a Dance Fly,2005-07-17,
Diptera (Flies):,Pullimosina pullula,,2005-07-17,
Diptera (Flies):,Sargus iridatus,Iridescent Centurion,2005-07-17,Breeds in cow dung.  Widespread but rarely common
Diptera (Flies):,Spaziphora hydromyzina,,2005-07-17,2♀ in Malaise trap
Diptera (Flies):,Sphaerophoria batava,a Hoverfly,2005-07-17,Status unclear; has been found in woodland rides
Diptera (Flies):,Thaumatomyia glabra,,2005-07-17,
Diptera (Flies):,Tricogena rubricosa,,2005-07-17,
"Hymenoptera (Ants, Wasps & Bees):",Chelostoma campanularum,Harebell Carpenter bee,2005-07-17,Common and widespread in gardens
"Hymenoptera (Ants, Wasps & Bees):",Crossocerus annulipes,a Digger Wasp,2005-07-17,Nests in dead wood. Feeds on Hemipteran bugs
"Hymenoptera (Ants, Wasps & Bees):",Lasius flavus,Yellow Meadow Ant,2005-07-17,(Malaise)
"Hymenoptera (Ants, Wasps & Bees):",Nomada fucata,Painted Nomad Bee,2005-07-17,Parasitises the nests of Andrena flavipes NATIONALLY NOTABLE Na (Falk 1991)
"Hymenoptera (Ants, Wasps & Bees):",Passaloecus singularis,a Digger Wasp,2005-07-17,Common generalist feeding on Aphids.
"Hymenoptera (Ants, Wasps & Bees):",Trichrysis cyanea,a Cuckoo wasp,2005-07-17,Parasite of solitary wasps
Coleoptera (beetles):,Brachypterus glaber,,2005-07-17,Nettle feeder
Coleoptera (beetles):,Propylea quattuordecimpunctata,14-spot Ladybird,2005-07-17,Mating pair seen on Heath 1995 May 21st
Diptera (Flies):,Chyromya miladae,,2005-07-16,One female.  Species only recently discovered.
Diptera (Flies):,Empis flava,,2005-07-16,Malaise trap
Diptera (Flies):,Helina setiventris,,2005-07-16,
Diptera (Flies):,Minettia inusta,,2005-07-16,
Diptera (Flies):,Ophiomyia curvipalpis,,2005-07-16,♂ in Malaise trap
Diptera (Flies):,Phaonia trimaculata,,2005-07-16,♀ in Malaise trap
Diptera (Flies):,Platymya fimbriata,,2005-07-16,One female in Malaise trap
Diptera (Flies):,Platypalpus optivus,a Dance Fly,2005-07-16,One male in Malaise trap
Diptera (Flies):,Thelaira nigrina,,2005-07-16,♀ in Malaise trap
Diptera (Flies):,Xylomyia maculata,Wasp Wood-Soldierfly,2005-07-16,VU VULNERABLE NATIONALLY was RDB2. Only recorded from 4 hectads since 1990. Breeds in rotten wood of some poplar species.
"Hymenoptera (Ants, Wasps & Bees):",Priocnemis exaltata,a Spider-hunting wasp,2005-07-16,"Widespread in woodland, hedgerows, heathland etc."
"Hymenoptera (Ants, Wasps & Bees):",Sphecodes ephippius,Bare-saddled Blood Bee,2005-07-16,"Cleptoparasite of several species of Lasioglossum, 1st seen 1995 May 26th (Heath)"
Neuroptera (Lacewings & Snake flies):,Dichochrysa ventralis,,2005-07-14,Widespread & common near trees.
Diptera (Flies):,Bellardia vulgaris,,2005-07-10,One female in Malaise trap
Diptera (Flies):,Cetema elongatum,,2005-07-10,One male in Malaise trap
Diptera (Flies):,Drapetis infitialis,Dance Fly,2005-07-10,Nationally Data Deficient
Diptera (Flies):,Hydrotaea parva,,2005-07-10,NS NATIONALLY SCARCE
Diptera (Flies):,Limnellia quadrata,,2005-07-10,
Diptera (Flies):,Lispe tentaculata,,2005-07-10,♀ in Malaise trap
Diptera (Flies):,Medina separata,,2005-07-10,♀ in Malaise trap
Diptera (Flies):,Melanophora roralis,,2005-07-10,♂ in Malaise trap
Diptera (Flies):,Oscinella vindicata,,2005-07-10,One male in Malaise trap
Diptera (Flies):,Oscinomorpha arcuata,,2005-07-10,
Diptera (Flies):,Philygria vittipennis,,2005-07-10,♂ in Malaise trap
Diptera (Flies):,Phryxe vulgaris,,2005-07-10,Very common butterfly parasite
Diptera (Flies):,Sepsis cynipsea,,2005-07-10,♀ in Malaise trap
Diptera (Flies):,Sepsis punctum,,2005-07-10,
Diptera (Flies):,Symphoromyia immaculata,,2005-07-10,NATIONALLY SCARCE
"Hymenoptera (Ants, Wasps & Bees):",Ageniodeus cinctellus,a Spider wasp,2005-07-10,Found in drier situations & sandy soils
"Hymenoptera (Ants, Wasps & Bees):",Cladius compressicornis,A Sawfly,2005-07-10,Common. Larvae feed on rosaceous shrubs & herbs
"Hymenoptera (Ants, Wasps & Bees):",Cleptes semiauratus,a Cuckoo wasp,2005-07-10,parasitoid of tenthredinid sawflies Nationally Scarce (Nb) Falk (1991).
"Hymenoptera (Ants, Wasps & Bees):",Crossocerus distinguendus,a Digger Wasp,2005-07-10,"Eats small Diptera, aphids. Nationally Scarce Na"
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum pauxillum,a Mining bee,2005-07-10,Scarce. Open sites. Nationally Scarce Na (Falk 1991)
"Hymenoptera (Ants, Wasps & Bees):",Nomada fabriciana,Fabricius' Nomad Bee,2005-07-10,A cleptoparasite of several Andrena species
"Hymenoptera (Ants, Wasps & Bees):",Passaloecus corniger,Horned Black Wasp,2005-07-10,"Constructs cells in Bramble stems, rotten wood"
"Hymenoptera (Ants, Wasps & Bees):",Stigmus solskyi,a Digger Wasp,2005-07-10,Nests in beetle holes in dead wood; eats aphids
Diptera (Flies):,Dichetophora obliterata,,2005-07-06,
Araneae (Spiders):,Nuctenea umbratica,,2005-07-05,Usually found on trees
Diptera (Flies):,Acnemia nitidicollis,,2005-07-03,One male in Malaise trap
Diptera (Flies):,Cerodontha biseta,,2005-07-03,One male in Malaise trap
Diptera (Flies):,Chromatomyia milii,Agromyzid fly,2005-07-03,
Diptera (Flies):,Hebecnema umbratica,,2005-07-03,One male in Malaise trap
Diptera (Flies):,Hydrellia griseola,,2005-07-03,One male in Malaise trap
Diptera (Flies):,Hydrellia maura,,2005-07-03,One male in Malaise trap
Diptera (Flies):,Leptocera fontinalis,,2005-07-03,♂ in Malaise trap
Diptera (Flies):,Lordiphosa andalusiaca,,2005-07-03,
Diptera (Flies):,Medetera truncorum,,2005-07-03,
Diptera (Flies):,Platypalpus clarandus,a Dance Fly,2005-07-03,
Diptera (Flies):,Pseudonapomyza atra,,2005-07-03,
Diptera (Flies):,Spelobia nana,,2005-07-03,
Diptera (Flies):,Spelobia rufilabris,,2005-07-03,♂ in Malaise trap
Diptera (Flies):,Thaumatomyia notata,,2005-07-03,
Diptera (Flies):,Tricimba lineela,,2005-07-03,
Araneae (Spiders):,Lepthyphantes zimmermanni,,2005-07-03,"Very common. Low vegetation, moss, leaf-litter"
Diptera (Flies):,Lonchaea chorea,,2005-07-02,
Diptera (Flies):,Meiosimyza decipiens,,2005-07-02,
Diptera (Flies):,Platypalpus calceatus,a Dance Fly,2005-07-02,
Diptera (Flies):,Pyratula perpusilla,,2005-07-02,One male in Malaise trap
Coleoptera (beetles):,Anaspis regimbarti,(Tumbling flower beetle),2005-07-02,
Coleoptera (beetles):,Anaspis ruficollis,(Tumbling flower beetle),2005-07-02,
Coleoptera (beetles):,Pterostichus madidus,Black Clock beetle,2005-07-02,
Araneae (Spiders):,Lepthyphantes tenuis,,2005-07-02,"Very common on low vegetation, moss etc."
Diptera (Flies):,Eupeodes luniger,a Hoverfly,2005-07-01,Common
Diptera (Flies):,Diazosma hirtipenne,,2005-06-25,Rare: scattered records only
Coleoptera (beetles):,Ptilinus pectinicornis,Fan-bearing Wood-Borer,2005-06-22,Wood borer
Coleoptera (beetles):,Phyllobius pyri,Common Leaf Weevil,2005-06-20,Larvae probably develop on grass roots
Diptera (Flies):,Bicellaria vana,,2005-06-19,One female in Malaise trap
Diptera (Flies):,Conioscinella mimula,,2005-06-19,.
Diptera (Flies):,Elachiptera tuberculifera,,2005-06-19,
Diptera (Flies):,Leiomyza dudai,,2005-06-19,♀ in Malaise trap
Diptera (Flies):,Lydella stabulans,,2005-06-19,♀ in Malaise trap
Diptera (Flies):,Megophthalmidia crassicornis,,2005-06-19,
Diptera (Flies):,Myospila meditabunda,,2005-06-19,
Diptera (Flies):,Ocytata pallipes,,2005-06-19,
Diptera (Flies):,Orfelia discoloria,,2005-06-19,♂ in Malaise trap
Diptera (Flies):,Platypalpus rapidoides,a Dance Fly,2005-06-19,1 ♀ First found in UK 1991; Rare; 4 other UK recordss
Diptera (Flies):,Sarcophaga vagans,Sarcophagidae (a flesh fly),2005-06-19,
Diptera (Flies):,Tachydromia umbrarum,a Dance Fly,2005-06-19,
Diptera (Flies):,Tricimba cincta,,2005-06-19,
"Hymenoptera (Ants, Wasps & Bees):",Macrophya alboannulata,a Sawfly,2005-06-19,Common. Larvae feed on Elder
"Hymenoptera (Ants, Wasps & Bees):",Pemphredon inornata,a Digger Wasp,2005-06-19,"Common, preys on Aphids"
"Hymenoptera (Ants, Wasps & Bees):",Pemphredon lugubris,Mournful Wasp,2005-06-19,Burrows in decayed wood; feeding on Aphids
"Hymenoptera (Ants, Wasps & Bees):",Tenthredo mesomela,a Sawfly,2005-06-19,"Common, on speedwell, buttercup, dock, hogweed, greater burdock &c"
"Hymenoptera (Ants, Wasps & Bees):",Tiphia minuta,Small Tiphia,2005-06-19,parasite on dung beetle larvae. Nationally Scarce (Nb)
Coleoptera (beetles):,Bolitobius castaneus,,2005-06-19,in Malaise trap. One of only 8 Hertfordshire records.
Coleoptera (beetles):,Ontholestes murinus,,2005-06-19,Lives on cow dung.
Coleoptera (beetles):,Tytthaspis sedecimpunctata,Sixteen-spot Ladybird,2005-06-19,Grassland species.
Araneae (Spiders):,Tetragnatha montana,,2005-06-19,"Common on vegetation, bushes & trees"
Diptera (Flies):,Dufouria chalybeata,,2005-06-18,
Diptera (Flies):,Lonchaea postica,,2005-06-18,♀ in Malaise trap
Diptera (Flies):,Oebalia minuta,Flesh Fly,2005-06-18,Parasite of eggs & larvae of Sphecid wasps
Diptera (Flies):,Platypalpus leucocephalus,a Dance Fly,2005-06-18,♀ in Malaise trap
Diptera (Flies):,Platypalpus longicornis,a Dance Fly,2005-06-18,♀ in Malaise trap
Diptera (Flies):,Solieria pacifica,,2005-06-18,♂ in Malaise trap
Diptera (Flies):,Triarthria setipennis,,2005-06-18,Parasite of Common Earwig & caterpillars
"Hymenoptera (Ants, Wasps & Bees):",Megachile willughbiella,Willughby's leaf-cutter bee,2005-06-18,Gardens and brownfield sites.
"Hymenoptera (Ants, Wasps & Bees):",Priocnemis cordivalvata,a Spider-hunting wasp,2005-06-18,Open woodland species Nationally Scarce Nb
"Hymenoptera (Ants, Wasps & Bees):",Sapyga quinquepunctata,a Cuckoo wasp,2005-06-18,"""cuckoo"" brood parasite on Osmia rufa"
Coleoptera (beetles):,Catops fuscus,,2005-06-18,in Malaise trap
Coleoptera (beetles):,Quedius nitipennis,,2005-06-18,1st Herts records since 1930
Coleoptera (beetles):,Hydroporus tessellatus,,2005-06-17,Local in smaller headwater streams & ditches.
Coleoptera (beetles):,Ptinus sexpunctatus,,2005-06-16,near bee skeps.   NATIONALLY NOTABLE  Nb.
Diptera (Flies):,Gymnophytomyza heteroneura,,2005-06-15,One female in Malaise trap
Diptera (Flies):,Anevrina thoracica,,2005-06-13,identified April 2013
Diptera (Flies):,Cerodontha fulvipes,,2005-06-13,
Diptera (Flies):,Coenosia atra,,2005-06-13,
Diptera (Flies):,Diastata costata,,2005-06-13,identified April 2013
Diptera (Flies):,Dicraeus tibialis,,2005-06-13,identified April 2013
Diptera (Flies):,Drapetis assimilis,Dance Fly,2005-06-13,
Diptera (Flies):,Empis caudatula,,2005-06-13,
Diptera (Flies):,Fannia fuscula,,2005-06-13,identified April 2013
Diptera (Flies):,Mydaea ancilla,,2005-06-13,
Diptera (Flies):,Opomyza petrei,,2005-06-13,identified April 2013
Diptera (Flies):,Phora atra,,2005-06-13,
Diptera (Flies):,Phytomyza nigra,,2005-06-13,identified April 2013
Diptera (Flies):,Protearomyia nigra,,2005-06-13,
Diptera (Flies):,Spelobia parapusio,,2005-06-13,identified April 2013
"Hymenoptera (Ants, Wasps & Bees):",Collyria trichophthalma,an Ichneumon Fly,2005-06-13,
Coleoptera (beetles):,Athous vittatus,(click beetle),2005-06-12,Found on young trees.
Coleoptera (beetles):,Prosternon tessellatum,Chequered Click Beetle,2005-06-12,Local in Herts - a heathy grassland species.
"Hymenoptera (Ants, Wasps & Bees):",Tenthredopsis coquebertii,a Sawfly,2005-06-11,Larvae feed on grasses. Common
Coleoptera (beetles):,Athous bicolor,(click beetle),2005-06-11,Common in south England
Coleoptera (beetles):,Leiopus linnei,,2005-06-11,Newly recognised species.
Coleoptera (beetles):,Magdalis armigera,,2005-06-11,
Araneae (Spiders):,Araniella cucurbitina,,2005-06-11,"Common on low vegetation, bushes & trees"
Araneae (Spiders):,Clubiona brevipes,,2005-06-11,Common and widespread on leaves
Diptera (Flies):,Anthomyza gracilis,,2005-06-09,identified April 2013
Diptera (Flies):,Chrysotoxum cautum,a Hoverfly,2005-06-09,Declining nationally. Not common N. of Thames
Diptera (Flies):,Cordyla brevicornis,,2005-06-09,identified April 2013
Diptera (Flies):,Empis stercorea,,2005-06-09,identified April 2013
Diptera (Flies):,Nemorilla floralis,,2005-06-09,identified April 2013
Diptera (Flies):,Oedalia holmgreni,Dance Fly,2005-06-09,
Diptera (Flies):,Opacifrons coxata,,2005-06-09,identified April 2013
Diptera (Flies):,Phasia pusilla,,2005-06-09,
Diptera (Flies):,Platycheirus scutatus Sensu lato,a Hoverfly,2005-06-09,Declining Nationally. At Leasey Bridge 1979
Diptera (Flies):,Symplecta stictica,,2005-06-09,"MV.  By wet ditches, ponds"
"Hymenoptera (Ants, Wasps & Bees):",Dolerus fumosus,a Sawfly,2005-06-09,Common. Larvae feed on grasses
"Hymenoptera (Ants, Wasps & Bees):",Xestopelta gracillima,an Ichneumon Fly,2005-06-09,Very rare: only 3 UK specimens in British Museum
Araneae (Spiders):,Metellina mengei,,2005-06-09,Abundant. Orb webs on vegetation up to 2 m.
Diptera (Flies):,Dioctria rufipes,Common Red-legged Robberfly,2005-06-08,
Diptera (Flies):,Ectrepesthoneura hirta,,2005-06-08,identified April 2013
Diptera (Flies):,Empis nigripes,,2005-06-08,identified April 2013
Diptera (Flies):,Lotophila atra,,2005-06-08,identified April 2013
Diptera (Flies):,Ormosia nodulosa,,2005-06-08,
Diptera (Flies):,Oscinella cariciphila,,2005-06-08,"male & female, identified April 2013"
Diptera (Flies):,Philygria interstincta,,2005-06-08,identified April 2013
Diptera (Flies):,Rhamphomyia atra,,2005-06-08,identified April 2013
Diptera (Flies):,Setisquamalonchaea fumosa,,2005-06-08,
"Hymenoptera (Ants, Wasps & Bees):",Eutomostethus lueiventris,a Sawfly,2005-06-08,Common.  Larva feeds on Soft Rush
"Hymenoptera (Ants, Wasps & Bees):",Tenthredopsis nassata,a Sawfly,2005-06-08,"Common; cock's-foot, tufted-hair grass and wavy-hair grass"
Coleoptera (beetles):,Ceutorhynchus typhae,,2005-06-08,2 in Malaise trap
Coleoptera (beetles):,Tachyporus atriceps,,2005-06-08,One of 10 Hertfordshire records
Coleoptera (beetles):,Trixagus dermestoides,,2005-06-08,
Araneae (Spiders):,Pisaura mirabilis,Nursery web spider,2005-06-08,Common on grassland & heathland
Diptera (Flies):,Muscina levida,,2005-06-07,
Diptera (Flies):,Phaonia gobertii,,2005-06-07,identified April 2013
"Hymenoptera (Ants, Wasps & Bees):",Athalia cornubiae probably,A Sawfly,2005-06-07,Rare. Larva feed on Sedum spp.
Araneae (Spiders):,Salticus scenicus,Zebra Spider,2005-06-07,"A jumping spider, often seen"
Diptera (Flies):,Coenosia infantula,,2005-06-05,
Diptera (Flies):,Eustalomyia hilaris,,2005-06-05,NATIONALLY NEAR THREATENED
Diptera (Flies):,Fannia melania,,2005-06-05,identified April 2013  NS NATIONALLY SCARCE
Diptera (Flies):,Fannia monilis,,2005-06-05,
Diptera (Flies):,Leia fascipennis,,2005-06-05,
Diptera (Flies):,Platypalpus pallidiventris,a Dance Fly,2005-06-05,identified April 2013
Diptera (Flies):,Suillia affinis,,2005-06-05,
Diptera (Flies):,Symmerus annulatus,a Fungus gnat,2005-06-05,identified April 2013
Coleoptera (beetles):,Anaspis garneysi,,2005-06-05,malaise trap
Coleoptera (beetles):,Athous hirtus,(click beetle),2005-06-05,
Coleoptera (beetles):,Phyllobius roboretanus,,2005-06-05,Feeds on roots of Spear Thistle C.vulgare
Araneae (Spiders):,Paidiscura pallens,,2005-06-05,Common and widespread on low vegetation
Araneae (Spiders):,Theridion sisyphium,,2005-06-05,Widespread.  Web on bushes & low vegetation
Diptera (Flies):,Parasyrphus annulatus,a Hoverfly,2005-06-04,
Coleoptera (beetles):,Cordylepherus viridis,,2005-06-04,"Larvae predacious, adults feed on pollen"
Araneae (Spiders):,Philodromus dispar,,2005-06-04,"Widespread on low vegetation, bushes & trees"
Araneae (Spiders):,Steatoda bipunctata,,2005-06-04,Widespread in houses and on tree trunks
Araneae (Spiders):,Drassodes lapidosus,,2005-06-02,"Widespread.  Under stones, leaf-litter, grass"
Coleoptera (beetles):,Anthrenus verbasci,Varied Carpet Beetle,2005-06-01,
Diptera (Flies):,Tipula hortorum,Cranefly,2005-05-19,Nationally scarce. Ancient woodland species
"Hymenoptera (Ants, Wasps & Bees):",Calameuta pallipes,a Stem Sawfly,2005-05-18,Widespread. Larva feeds inside stems of unknown species
"Hymenoptera (Ants, Wasps & Bees):",Aglaostigma aucupariae,a Sawfly,2005-05-16,Larva feeds on bedstraws
Diptera (Flies):,Desmometopa sordida,,2005-05-15,identified April 2013
Diptera (Flies):,Empis nuntia,,2005-05-15,
Diptera (Flies):,Epistrophe eligans,a Hoverfly,2005-05-15,Very common
Diptera (Flies):,"Eupeodes species ""C""",a Hoverfly,2005-05-15,Recently discovered species; not yet named
Diptera (Flies):,Hydrotaea cyrtoneurina,,2005-05-15,identified April 2013
Diptera (Flies):,Phytomyza lateralis,,2005-05-15,identified April 2013
Diptera (Flies):,Platycheirus peltatus,a Hoverfly,2005-05-15,Widespread in woodland and open habitats.
"Hymenoptera (Ants, Wasps & Bees):",Ametastegia tenera,a Sawfly,2005-05-15,Larvae feed on dock; common.
Coleoptera (beetles):,Phyllotreta consobrina,Flea beetle,2005-05-15,NATIONALLY SCARCE
Coleoptera (beetles):,Tachyporus hypnorum,(Rove beetle),2005-05-15,Common among moss and vegetable debris
Diptera (Flies):,Aulagromyza orphana,,2005-05-14,identified April 2013
Diptera (Flies):,Baccha elongata,a Hoverfly,2005-05-14,"Larvae predatory, esp. aphids. Adults in shady places low on ground"
Diptera (Flies):,Empis chioptera,,2005-05-14,
Diptera (Flies):,Empis trigramma,,2005-05-14,
Diptera (Flies):,Euthyneura halidayi,Dance Fly,2005-05-14,
Diptera (Flies):,Hilara interstincta,,2005-05-14,identified April 2013
Diptera (Flies):,Liriomyza orbona,,2005-05-14,identified April 2013
Diptera (Flies):,Nanna armillata,,2005-05-14,identified April 2013
Diptera (Flies):,Phytomyza ramosa,,2005-05-14,identified April 2013
Diptera (Flies):,Rhamphomyia albohirta,,2005-05-14,identified April 2013
Diptera (Flies):,Rhamphomyia sulcata,,2005-05-14,
Diptera (Flies):,Spelobia clunipes,,2005-05-14,
"Hymenoptera (Ants, Wasps & Bees):",Andrena haemorrhoa,Early Mining Bee,2005-05-14,Widfespread and common
Coleoptera (beetles):,Phyllobius maculicornis,,2005-05-14,
Coleoptera (beetles):,Tachyporus nitidulus,(Rove beetle),2005-05-14,"In leaf litter, rough vegetation"
Diptera (Flies):,Hilara brevistyla,,2005-05-08,identified April 2013
Diptera (Flies):,Oscinella nigerrima,,2005-05-08,
Diptera (Flies):,Rhamphomyia laevipes,,2005-05-08,identified April 2013
Diptera (Flies):,Bibio lanigeris,,2005-05-02,"male, U.V. light"
Coleoptera (beetles):,Epuraea melanocephala,,2005-05-02,005 May
Diptera (Flies):,Campichoeta punctum,,2005-05-01,1 female in Malaise trap
Diptera (Flies):,Chromatomyia ramosa,Agromyzid fly,2005-05-01,2 males in Malaise trap
Diptera (Flies):,Copromyza stercoraria,,2005-05-01,Malaise
Diptera (Flies):,Crossopalpus nigritellus,,2005-05-01,Malaise
Diptera (Flies):,Fannia corvina,,2005-05-01,♀ in Malaise trap
Diptera (Flies):,Helina pertusa,,2005-05-01,♀ in Malaise trap
Diptera (Flies):,Hilara maura,,2005-05-01,♀ in Malaise trap
Diptera (Flies):,Nanna fasciata,,2005-05-01,♂ in Malaise trap
Diptera (Flies):,Rhingia campestris,a Hoverfly,2005-05-01,Breeds in cow dung.  Common.  Seen 1979
Diptera (Flies):,Scathophaga inquinata,,2005-05-01,2♂ in Malaise trap
Diptera (Flies):,Tephrochlaemys rufiventris,,2005-05-01,♀ in Malaise trap
Coleoptera (beetles):,Enicmus histrio,,2005-05-01,
Coleoptera (beetles):,Meligethes morosus,,2005-05-01,One of 8 Herts records. On White Dead-nettle
Coleoptera (beetles):,Polydrusus cervinus,,2005-05-01,
Coleoptera (beetles):,Ptomaphagus subvillosus,,2005-05-01,Carrion feeder; one of 8 Herts. Records
Coleoptera (beetles):,Tachinus rufipes,,2005-05-01,"In carrion, dung etc."
Isopoda (Woodlice):,Philoscia muscorum,Common Striped Woodlouse,2005-05-01,Common in hedgerows and grassland.
Araneae (Spiders):,Erigone dentipalpis,Money Spider,2005-04-24,
Diptera (Flies):,Halidayina spinipennis,,2005-04-17,♂ in Malaise trap
Diptera (Flies):,Lordiphosa fenestrarum,,2005-04-17,♂ in Malaise trap
Diptera (Flies):,Phytomyza ranunculi,,2005-04-17,♀ in Malaise trap
Coleoptera (beetles):,Batophila aerata,(Raspberry Flea Beetle),2005-04-17,"HERTS RARE Local; 2nd Herts record; first since 1900. Feeds on foliage of various plants, esp. rubus"
Coleoptera (beetles):,Chaetocnema concinna,,2005-04-17,In rough damp grass; Recently split into 2.
Coleoptera (beetles):,Dropephylla vilis,,2005-04-17,Feeds in decaying plant matter. One of only 2 Herts records since 1950.
Hemiptera (Bugs):,Cyphostethus tristriatus,Juniper Shieldbug,2005-04-03,in house.
Isopoda (Woodlice):,Porcellio scaber,Common Rough Woodlouse,2004-12-23,Very common in many habitats.
Araneae (Spiders):,Metellina segmentata,,2004-11-23,Abundant.  As previous species
Araneae (Spiders):,Zygiella x-notata,,2004-11-21,
Diptera (Flies):,Diplonevra nitidula,,2004-11-03,
Diptera (Flies):,Drosophila andalusiaca,,2004-11-03,
Diptera (Flies):,Suillia notata,,2004-11-03,
Diptera (Flies):,Tephrochlaemys tarsalis,,2004-11-03,
Diptera (Flies):,Tipula subcunctans,Cranefly,2004-10-22,Uncommon.
Hemiptera (Bugs):,Elasmucha grisea,Parent Shieldbug,2004-09-19,Cares for its young.  Eats silver birch
"Hymenoptera (Ants, Wasps & Bees):",Dolichovespula media,Median wasp,2004-09-06,"New to UK 1985, NATIONALLY NOTABLE Na. hunts insects."
Hemiptera (Bugs):,Ischnodemus sabuleti,European Cinchbug,2004-09-05,Was an estuarine species.  Recently spread inland
